time,strategy_nav_eqw,benchmark_nav_eqw
2020-01-02,1.0,1.0
2020-01-03,1.0,0.9926640071293803
2020-01-06,1.0,1.0032578435253414
2020-01-07,1.0,1.008362774897027
2020-01-08,1.0,1.018996909871394
2020-01-09,1.0,1.022949001795469
2020-01-10,1.0,1.0188208737273874
2020-01-13,1.0,1.0464065491529648
2020-01-14,1.0,1.0453567719918966
2020-01-15,1.0,1.036294018058339
2020-01-16,1.0,1.0452204335768618
2020-01-17,1.0,1.0497636922529794
2020-01-21,1.0,1.0616092566314725
2020-01-22,1.0,1.072105795129029
2020-01-23,1.0,1.0791279217801322
2020-01-24,1.0,1.0715965004692949
2020-01-27,1.0,1.043576083461215
2020-01-28,1.0,1.0660827578958283
2020-01-29,1.0,1.0754218295374933
2020-01-30,1.0,1.0991116715326579
2020-01-31,1.0,1.0913686425790021
2020-02-03,1.0,1.144842538815664
2020-02-04,1.0,1.196753537479872
2020-02-05,1.0,1.1512591133474028
2020-02-06,1.0,1.1681041381891706
2020-02-07,1.0,1.164530092925805
2020-02-10,1.0,1.1907534903362378
2020-02-11,1.0,1.1940592057154262
2020-02-12,1.0,1.2019229632115387
2020-02-13,1.0,1.209433101523176
2020-02-14,1.0,1.2176123941250196
2020-02-18,1.0,1.2384009263425606
2020-02-19,1.0,1.2748855916274964
2020-02-20,1.0,1.2562410661135333
2020-02-21,1.0,1.229523657599778
2020-02-24,1.0,1.1620287758946997
2020-02-25,1.0,1.1265762752511903
2020-02-26,1.0,1.1293099536887905
2020-02-27,1.0,1.0471081594930103
2020-02-28,1.0,1.0590912022885695
2020-03-02,1.0,1.1253513815533542
2020-03-03,1.0,1.094617757028511
2020-03-04,1.0,1.1333588765911577
2020-03-05,1.0,1.0939817429805194
2020-03-06,1.0,1.0708959802400158
2020-03-09,1.0,0.9807790042573445
2020-03-10,1.0,1.0405548452777242
2020-03-11,1.0,0.997421157343264
2020-03-12,1.0,0.8958270445770367
2020-03-13,1.0,0.963259066320381
2020-03-16,1.0,0.8226232056751696
2020-03-17,1.0,0.8640187315054485
2020-03-18,1.0,0.8089223976898641
2020-03-19,1.0,0.8559241062394598
2020-03-20,1.0,0.8312831016715744
2020-03-23,1.0,0.8374801811616103
2020-03-24,1.0,0.9236587375481525
2020-03-25,1.0,0.9260762621885229
2020-03-26,1.0,0.9666255418221396
2020-03-27,1.0,0.9333720551547247
2020-03-30,1.0,0.9624399851326586
2020-03-31,1.0,0.96525535460992
2020-04-01,1.0,0.912216262307639
2020-04-02,1.0,0.923666260174109
2020-04-03,1.0,0.917615091185727
2020-04-06,1.0,0.9887690979589271
2020-04-07,1.0,0.9912155371081871
2020-04-08,1.0,1.0100579450846396
2020-04-09,1.0,1.0135437761732053
2020-04-13,1.0,1.058747792135285
2020-04-14,1.0,1.1183140216883678
2020-04-15,1.0,1.11670822662145
2020-04-16,1.0,1.1436874606168879
2020-04-17,1.0,1.1478060514655992
2020-04-20,1.0,1.132397235200623
2020-04-21,1.0,1.0768871376152462
2020-04-22,1.0,1.1235613292701194
2020-04-23,1.0,1.1146959095292261
